model_variant,quant_target,float_loss,float_ppl,quant_loss,quant_ppl,quant_gap,raw_quant_error,delta_vs_fp_base,delta_vs_fp_lora
llama32_1b__instruction_tuning__int4__lambda_1e09,int8,2.005864028294881,7.43251302475983,2.0064536304473877,7.436896542576545,0.0005896021525066963,4.698117209045449e-06,-0.03869903055826818,0.15565626557668044
llama32_1b__instruction_tuning__int4__lambda_1e10,int8,2.0844330418904624,8.040031828007681,2.0851791178385417,8.046032540591668,0.0007460759480792944,4.697648819274036e-06,0.04002645683288586,0.23438175296783448
llama32_1b__instruction_tuning__int4__lambda_1e11,int8,2.148168395360311,8.569148722055338,2.148631273905436,8.573116115288533,0.00046287854512527815,4.6975796976767015e-06,0.10347861289978022,0.29783390903472884
llama32_1b__instruction_tuning__int4__lambda_1e12,int8,2.1615613460540772,8.68468687978996,2.163254731496175,8.699405861058384,0.001693385442097739,4.697480562754208e-06,0.11810207049051913,0.31245736662546775
llama32_1b__instruction_tuning__int8__lambda_1e06,int8,1.850879846572876,6.365417650398541,1.8518040857315063,6.371303538217093,0.00092423915863038,1.7313670497287603e-08,-0.1933485752741495,0.0010067208607991152
llama32_1b__instruction_tuning__int8__lambda_1e07,int8,1.850880721728007,6.365423221128896,1.8513068106969197,6.368136035655009,0.00042608896891271897,1.6858313856005225e-08,-0.19384585030873613,0.0005094458262124846
llama32_1b__instruction_tuning__int8__lambda_1e08,int8,1.8516781431833902,6.370501170541844,1.8524985968271892,6.375730016159447,0.0008204536437990129,1.5373043282806975e-08,-0.19265406417846664,0.0017012319564819744
llama32_1b__instruction_tuning__int8__lambda_1e09,int8,1.8768788824081422,6.5330824897688515,1.8782262226740518,6.541890707368466,0.0013473402659096578,1.4715065610459988e-08,-0.16692643833160403,0.027428857803344586
llama32_1b__instruction_tuning__int8__lambda_1e10,int8,1.917018209139506,6.800650090383463,1.9177762645085652,6.805807314181199,0.0007580553690591518,1.4683341653665138e-08,-0.12737639649709065,0.06697889963785797
llama32_1b__instruction_tuning__int8__lambda_1e11,int8,1.9659772011439005,7.141888242655873,1.9660332021713256,7.142288206934318,5.6001027425089944e-05,1.468452381914176e-08,-0.07911945883433025,0.11523583730061837
llama32_1b__instruction_tuning__int8__lambda_1e12,int8,2.0328780771891277,7.636031852308918,2.0340538260142007,7.6450151878257095,0.0011757488250729864,1.4683788407410248e-08,-0.011098834991455142,0.18325646114349348
no_quant_ft,int8,1.8507973648707072,6.36489264156783,1.8516020593643188,6.370016496921534,0.0008046944936115352,5.710161531169433e-06,-0.19355060164133708,0.0008046944936115352
